SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioUnshifted,VoidRatioCorrected,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
4136,13,463539,1572,4.12148190574055,176.571515858968,260.057171952989,898.8,197.3,0.963790157796599,1.0267901577966,0.00515895911155713,4.12148190574055,176.571515858968,260.057171952989,1
4137,13,463551,1584,4.12274532429849,176.62199737988,259.873999126627,899,197.5,0.963790157796599,1.0267901577966,0.00515895911155713,4.12274532429849,176.62199737988,259.873999126627,1
4138,13,463563,1596,4.12379817309677,176.619652365991,259.67321745533,899.2,197.7,0.963790157796599,1.0267901577966,0.00515895911156886,4.12379817309677,176.619652365991,259.67321745533,1
4139,13,463575,1608,4.12485102189504,176.670601016906,259.890200338969,899,197.5,0.963790157796599,1.0267901577966,0.00516422335555847,4.12485102189504,176.670601016906,259.890200338969,1
4140,13,463587,1620,4.12590387069332,176.721548497338,260.007182832446,898.9,197.4,0.963790157796599,1.0267901577966,0.00515895911156886,4.12590387069332,176.721548497338,260.007182832446,1
4141,13,463599,1632,4.1269567194916,176.719202312964,260.006400770988,898.9,197.4,0.963790157796599,1.0267901577966,0.00515369486756752,4.1269567194916,176.719202312964,260.006400770988,1
4142,13,463611,1644,4.12800956828988,176.663564219511,260.187854739837,898.7,197.2,0.963790157796599,1.0267901577966,0.00515895911155713,4.12800956828988,176.663564219511,260.187854739837,1
4143,13,463623,1656,4.12906241708816,176.661218620379,259.38707287346,899.5,198,0.963790157796599,1.0267901577966,0.00515895911156664,4.12906241708816,176.661218620379,259.38707287346,1
4144,13,463635,1668,4.13011526588644,176.658873021247,259.686291007082,899.2,197.7,0.963790157796599,1.0267901577966,0.00515369486757702,4.13011526588644,176.658873021247,259.686291007082,1
4145,13,463647,1680,4.13116811468471,176.709817575468,259.503272525156,899.4,197.9,0.963790157796599,1.0267901577966,0.00514843062358963,4.13116811468471,176.709817575468,259.503272525156,1
4146,13,463659,1692,4.13222096348299,176.707471391094,259.802490463698,899.1,197.6,0.963790157796599,1.0267901577966,0.00515895911155713,4.13222096348299,176.707471391094,259.802490463698,1
4147,13,463671,1704,4.13327381228127,176.70512520672,259.70170840224,899.2,197.7,0.963790157796599,1.0267901577966,0.00516948759953634,4.13327381228127,176.70512520672,259.70170840224,1
4148,13,463683,1716,4.13432666107955,176.702779022346,259.700926340782,899.2,197.7,0.963790157796599,1.0267901577966,0.00515895911156664,4.13432666107955,176.702779022346,259.700926340782,1
4149,13,463695,1728,4.13559007963748,176.699963601097,259.599987867032,899.3,197.8,0.963790157796599,1.0267901577966,0.00515369486757924,4.13559007963748,176.699963601097,259.599987867032,1
4150,13,463707,1740,4.1364323586761,176.644799426455,259.481599808818,899.4,197.9,0.963790157796599,1.0267901577966,0.00515369486757924,4.1364323586761,176.644799426455,259.481599808818,1
4151,13,463719,1752,4.13748520747439,176.695740469224,259.698580156408,899.2,197.7,0.963790157796599,1.0267901577966,0.00514843062357348,4.13748520747439,176.695740469224,259.698580156408,1
4152,13,463731,1764,4.13853805627266,176.69339428485,259.49779809495,899.4,197.9,0.963790157796599,1.0267901577966,0.0051484306235757,4.13853805627266,176.69339428485,259.49779809495,1
4153,13,463743,1776,4.1398014748306,176.74386421797,259.11462140599,899.8,198.3,0.963790157796599,1.0267901577966,0.00514843062358741,4.1398014748306,176.74386421797,259.11462140599,1
4154,13,463755,1788,4.14064375386922,176.741986802277,259.413995600759,899.5,198,0.963790157796599,1.0267901577966,0.00514843062358519,4.14064375386922,176.741986802277,259.413995600759,1
4155,13,463767,1800,4.1416966026675,176.739640032661,259.41321334422,899.5,198,0.963790157796599,1.0267901577966,0.00514843062358519,4.1416966026675,176.739640032661,259.41321334422,1
4156,13,463779,1812,4.14274945146578,176.737293263045,259.612431087682,899.3,197.8,0.963790157796599,1.0267901577966,0.00514316637958387,4.14274945146578,176.737293263045,259.612431087682,1
4157,13,463791,1824,4.14401287002371,176.734477139505,259.511492379835,899.4,197.9,0.963790157796599,1.0267901577966,0.00514316637958387,4.14401287002371,176.734477139505,259.511492379835,1
4158,13,463803,1836,4.14485514906233,176.732599723812,259.510866574604,899.4,197.9,0.963790157796599,1.0267901577966,0.00515369486757702,4.14485514906233,176.732599723812,259.510866574604,1
4159,13,463815,1848,4.14611856762027,176.783065443189,259.727688481063,899.2,197.7,0.963790157796599,1.0267901577966,0.00515895911156886,4.14611856762027,176.783065443189,259.727688481063,1
4160,13,463827,1860,4.14717141641855,176.833999346004,259.544666448668,899.4,197.9,0.963790157796599,1.0267901577966,0.00515369486757702,4.14717141641855,176.833999346004,259.544666448668,1
4161,13,463839,1872,4.14822426521682,176.831651405904,259.343883801968,899.6,198.1,0.963790157796599,1.0267901577966,0.00514843062357348,4.14822426521682,176.831651405904,259.343883801968,1
4162,13,463851,1884,4.1492771140151,176.829303465804,259.943101155268,899,197.5,0.963790157796599,1.0267901577966,0.0051536948675653,4.1492771140151,176.829303465804,259.943101155268,1
4163,13,463863,1896,4.15032996281338,176.826955525704,259.742318508568,899.2,197.7,0.963790157796599,1.0267901577966,0.00515895911157108,4.15032996281338,176.826955525704,259.742318508568,1
4164,13,463875,1908,4.15138281161166,176.824607585604,260.041535861868,898.9,197.4,0.963790157796599,1.0267901577966,0.00515895911156886,4.15138281161166,176.824607585604,260.041535861868,1
4165,13,463887,1920,4.15243566040994,176.822259645503,259.640753215168,899.3,197.8,0.963790157796599,1.0267901577966,0.00516422335555847,4.15243566040994,176.822259645503,259.640753215168,1
4166,13,463899,1932,4.15348850920822,176.873189451625,259.657729817208,899.3,197.8,0.963790157796599,1.0267901577966,0.00516948759954078,4.15348850920822,176.873189451625,259.657729817208,1
4167,13,463911,1944,4.15454135800649,176.870840926282,259.556946975427,899.4,197.9,0.963790157796599,1.0267901577966,0.0051800160875222,4.15454135800649,176.870840926282,259.556946975427,1
4168,13,463923,1956,4.15559420680477,176.86849240094,259.456164133647,899.5,198,0.963790157796599,1.0267901577966,0.00518001608753176,4.15559420680477,176.86849240094,259.456164133647,1
4169,13,463935,1968,4.15664705560305,176.866143875598,259.355381291866,899.6,198.1,0.963790157796599,1.0267901577966,0.00517475184354215,4.15664705560305,176.866143875598,259.355381291866,1
4170,13,463947,1980,4.15769990440133,176.863795350255,259.454598450085,899.5,198,0.963790157796599,1.0267901577966,0.00518001608753398,4.15769990440133,176.863795350255,259.454598450085,1
4171,13,463959,1992,4.15875275319961,176.808172004902,259.436057334967,899.5,198,0.963790157796599,1.0267901577966,0.0051800160875222,4.15875275319961,176.808172004902,259.436057334967,1
4172,13,463971,2004,4.15959503223823,176.859568004639,259.85318933488,899.1,197.6,0.963790157796599,1.0267901577966,0.00518001608752443,4.15959503223823,176.859568004639,259.85318933488,1
4173,13,463983,2016,4.16064788103651,176.857219479297,259.852406493099,899.1,197.6,0.963790157796599,1.0267901577966,0.0051800160875362,4.16064788103651,176.857219479297,259.852406493099,1
4174,13,463995,2028,4.16170072983479,176.854870953955,259.451623651318,899.5,198,0.963790157796599,1.0267901577966,0.00517475184354437,4.16170072983479,176.854870953955,259.451623651318,1
4175,13,464007,2040,4.16275357863307,176.905795024703,259.268598341568,899.7,198.2,0.963790157796599,1.0267901577966,0.00517475184354215,4.16275357863307,176.905795024703,259.268598341568,1
4176,13,464019,2052,4.16380642743134,176.903445914119,259.367815304706,899.6,198.1,0.963790157796599,1.0267901577966,0.00517475184353038,4.16380642743134,176.903445914119,259.367815304706,1
4177,13,464031,2064,4.16485927622962,176.901096803535,259.367032267845,899.6,198.1,0.963790157796599,1.0267901577966,0.00516948759954078,4.16485927622962,176.901096803535,259.367032267845,1
4178,13,464043,2076,4.1659121250279,176.89874769295,259.266249230983,899.7,198.2,0.963790157796599,1.0267901577966,0.00516948759955031,4.1659121250279,176.89874769295,259.266249230983,1
4179,13,464055,2088,4.16696497382618,176.896398582366,259.465466194122,899.5,198,0.963790157796599,1.0267901577966,0.00516948759955031,4.16696497382618,176.896398582366,259.465466194122,1
4180,13,464067,2100,4.16801782262446,176.947319141662,259.282439713887,899.7,198.2,0.963790157796599,1.0267901577966,0.00517475184354215,4.16801782262446,176.947319141662,259.282439713887,1
4181,13,464079,2112,4.16907067142274,176.944969445836,259.181656481945,899.8,198.3,0.963790157796599,1.0267901577966,0.00518001608751998,4.16907067142274,176.944969445836,259.181656481945,1
4182,13,464091,2124,4.17012352022101,176.995888249406,259.298629416469,899.7,198.2,0.963790157796599,1.0267901577966,0.00517475184353038,4.17012352022101,176.995888249406,259.298629416469,1
4183,13,464103,2136,4.17117636901929,176.993537968337,259.297845989446,899.7,198.2,0.963790157796599,1.0267901577966,0.00516948759955253,4.17117636901929,176.993537968337,259.297845989446,1
4184,13,464115,2148,4.17201864805792,176.938390297522,259.479463432507,899.5,198,0.963790157796599,1.0267901577966,0.00517475184354437,4.17201864805792,176.938390297522,259.479463432507,1
4185,13,464127,2160,4.17307149685619,176.936040601695,258.878680200565,900.1,198.6,0.963790157796599,1.0267901577966,0.00516948759955253,4.17307149685619,176.936040601695,258.878680200565,1
4186,13,464139,2172,4.17412434565447,176.933690905869,258.877896968623,900.1,198.6,0.963790157796599,1.0267901577966,0.00516948759954078,4.17412434565447,176.933690905869,258.877896968623,1
4187,13,464151,2184,4.17517719445275,176.984606900277,259.194868966759,899.8,198.3,0.963790157796599,1.0267901577966,0.0051747518435326,4.17517719445275,176.984606900277,259.194868966759,1
4188,13,464163,2196,4.17623004325103,177.035521724201,259.111840574734,899.9,198.4,0.963790157796599,1.0267901577966,0.00516948759955253,4.17623004325103,177.035521724201,259.111840574734,1
4189,13,464175,2208,4.17728289204931,177.033170857891,258.81105695263,900.2,198.7,0.963790157796599,1.0267901577966,0.00516948759955253,4.17728289204931,177.033170857891,258.81105695263,1
4190,13,464187,2220,4.17812517108793,177.031290164842,259.110430054947,899.9,198.4,0.963790157796599,1.0267901577966,0.00516422335555847,4.17812517108793,177.031290164842,259.110430054947,1
4191,13,464199,2232,4.17917801988621,177.028939298531,259.809646432844,899.2,197.7,0.963790157796599,1.0267901577966,0.00515895911155491,4.17917801988621,177.028939298531,259.809646432844,1
4192,13,464211,2244,4.18023086868449,176.973325551148,259.19110851705,899.8,198.3,0.963790157796599,1.0267901577966,0.00515895911155713,4.18023086868449,176.973325551148,259.19110851705,1
4193,13,464223,2256,4.18128371748277,176.97097527008,259.090325090027,899.9,198.4,0.963790157796599,1.0267901577966,0.00515895911156886,4.18128371748277,176.97097527008,259.090325090027,1
4194,13,464235,2268,4.18212599652139,177.022356872862,259.307452290954,899.7,198.2,0.963790157796599,1.0267901577966,0.00515895911156664,4.18212599652139,177.022356872862,259.307452290954,1
4195,13,464247,2280,4.18317884531967,177.073267248946,258.924422416315,900.1,198.6,0.963790157796599,1.0267901577966,0.00515895911156664,4.18317884531967,177.073267248946,258.924422416315,1
4196,13,464259,2292,4.1844422638776,177.070445507083,259.223481835694,899.8,198.3,0.963790157796599,1.0267901577966,0.00515895911155713,4.1844422638776,177.070445507083,259.223481835694,1
4197,13,464271,2304,4.18549511267588,177.06809405553,259.12269801851,899.9,198.4,0.963790157796599,1.0267901577966,0.00515895911155713,4.18549511267588,177.06809405553,259.12269801851,1
