SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
42,11,930689,246,0.0386463227918273,28.6772023854974,393.159067461832,716.4,14.1999999999999,1.0334645604989,1.0464645604989,0.00455597307375663,0.0386463227918273,28.6772023854974,393.159067461832,1
43,11,930695,252,0.0397022332506203,29.2249271221488,392.84164237405,716.9,14.6999999999999,1.0334645604989,1.0464645604989,0.00456014077261484,0.0397022332506203,29.2249271221488,392.84164237405,1
44,11,930701,258,0.0405469616176548,29.717956768259,392.80598558942,717.1,14.9,1.0334645604989,1.0464645604989,0.00456429749893832,0.0405469616176548,29.717956768259,392.80598558942,1
45,11,930707,264,0.0413916899846893,30.2109780697356,392.870326023245,717.2,15,1.0334645604989,1.0464645604989,0.00456820209013033,0.0413916899846893,30.2109780697356,392.870326023245,1
46,11,930713,270,0.0422364183517238,30.6491337523371,392.816377917446,717.4,15.1999999999999,1.0334645604989,1.0464645604989,0.00457210164746579,0.0422364183517238,30.6491337523371,392.816377917446,1
47,11,930719,276,0.0430811467187582,31.0872820174866,392.562427339162,717.8,15.5999999999999,1.0334645604989,1.0464645604989,0.00456487909465503,0.0430811467187582,31.0872820174866,392.562427339162,1
48,11,930725,282,0.0441370571775513,31.5252444558073,392.208414818602,718.3,16.0999999999999,1.0334645604989,1.0464645604989,0.00455787879802528,0.0441370571775513,31.5252444558073,392.208414818602,1
49,11,930731,288,0.0449817855445858,31.9633769588709,392.15445898629,718.5,16.3,1.0334645604989,1.0464645604989,0.00456175749288646,0.0449817855445858,31.9633769588709,392.15445898629,1
50,11,930737,294,0.0458265139116203,32.4563573484627,391.918785782821,718.9,16.6999999999999,1.0334645604989,1.0464645604989,0.00456562752864651,0.0458265139116203,32.4563573484627,391.918785782821,1
51,11,930743,300,0.0468824243704134,32.8942932462123,391.664764415404,719.3,17.0999999999999,1.0334645604989,1.0464645604989,0.0068954152687602,0.0468824243704134,32.8942932462123,391.664764415404,1
52,11,930749,306,0.0477271527374479,33.2775478452459,391.592515948415,719.5,17.3,1.0334645604989,1.0464645604989,0.00927089382816975,0.0477271527374479,33.2775478452459,391.592515948415,1
53,11,930755,312,0.0485718811044823,33.6607959540088,391.120265318003,720.1,17.9,1.0334645604989,1.0464645604989,0.00933424845578187,0.0485718811044823,33.6607959540088,391.120265318003,1
54,11,930761,318,0.0494166094715168,34.0440375725009,391.048012524167,720.3,18.0999999999999,1.0334645604989,1.0464645604989,0.00934480756036984,0.0494166094715168,34.0440375725009,391.048012524167,1
